instance=HRC102, CXPB1=0.5, MUTPB1=0.2, MUTPB2=0.2
Algorithm took 23.72s

gen, min, max, mean, std
439, 7691.69179, 63390.90961, 8403.93390, 5530.66069
440, 7691.69179, 16092.52468, 7955.10934, 850.49870
441, 7691.69179, 9843.08949, 7871.13022, 332.64481
442, 7691.69179, 75525.76177, 8552.68958, 6739.87755
443, 7691.69179, 8934.68050, 7865.72570, 263.79829
444, 7678.23327, 22407.11520, 7978.17147, 1469.05989
445, 7665.88874, 9096.66605, 7868.60815, 274.08623
446, 7665.76287, 8789.90642, 7879.64371, 277.55711
447, 7665.76287, 8968.67761, 7905.21299, 306.72481
448, 7665.76287, 99272.25469, 8803.85445, 9098.32609
449, 7665.76287, 153306.53914, 9296.49910, 14475.91480
450, 7658.05372, 8749.54954, 7866.98680, 288.65699
451, 7645.92904, 58323.88925, 8530.23286, 5387.49328
452, 7645.92904, 9010.72100, 7888.87948, 300.41196
453, 7634.88744, 177008.48170, 9592.77644, 16829.58415
454, 7634.88744, 136691.59650, 9470.88365, 13079.01763
455, 7622.41524, 8756.70614, 7865.91308, 281.75549
456, 7622.41524, 17351.36962, 7964.12217, 988.08543
457, 7615.05405, 9162.59325, 7883.78962, 361.46677
458, 7630.32702, 35055.93445, 8147.24925, 2719.76421
459, 7610.80433, 8939.35068, 7862.57465, 298.68613
460, 7610.80433, 172924.68405, 9882.47580, 16868.66125
461, 7610.80433, 9705.08446, 7800.04634, 323.28337
